probe set	AA1521m99hpp_av06	AA1521n99hpp_av06	AA1521o99hpp_av06	AA1521p99hpp_av06	AA1521q99hpp_av06	AA1521r99hpp_av06	AA1521s99hpp_av06	AA1521t99hpp_av06
37838_at	236.884	223.019	220.958	208.793	241.084	235.909	203.438	242.519
37839_at	439.095	426.132	410.692	387.056	441.541	430.996	397.625	465.619
37840_at	79.867	83.922	81.258	78.53	90.236	85.393	68.408	83.381
37841_at	24.691	20.379	26.239	20.832	23.11	24.121	26.014	25.335
37842_at	40.346	45.895	40.832	41.866	42.577	42.636	49.805	43.792
37843_i_at	97.158	94.972	91.477	90.499	94.032	92.883	91.439	96.997
37844_at	52.319	60.292	57.125	66.094	66.607	59.983	68.783	65.33
37845_at	102.641	96.532	104.94	99.954	107.946	109.017	103.061	111.5
37846_at	224.966	188.031	195.357	198.299	200.265	222.024	186.603	217.428
37847_at	341.301	318.638	366.172	324.449	344.881	370.624	318.386	364.143
37848_at	11.955	11.258	13.191	9.514	10.85	13.656	14.088	10.558
37849_at	166.68	163.426	152.3	140.808	167.546	155.936	134.555	166.368
37850_at	151.268	128.969	141.496	107.061	140.647	137.6	124.115	165.965
37851_at	104.961	116.312	118.082	116.089	108.689	110.692	128.768	113.672
37852_at	47.948	42.785	40.826	40.192	47.508	49.08	44.795	48.477
37853_at	811.353	729.142	776.228	694.368	755.37	783.771	676.693	794.569
37854_at	26.934	22.965	23.83	18.004	28.772	26.547	29.6	22.983
37855_at	163.528	172.891	164.358	138.108	179.288	169.212	160.155	161.527
37856_at	83.909	79.298	77.682	78.666	77.12	77.351	68.835	77.957
37857_at	141.7	145.108	145.598	144.041	160.196	149.049	139.971	146.043
37858_at	330.798	338.763	322.905	319.503	300.723	295.816	326.475	284.434
37859_r_at	42.09	42.86	44.969	52.21	48.953	43.037	54.483	48.72
37860_at	78.84	77.88	70.365	77.087	89.277	76.575	82.014	81.195
37861_at	67.594	75.436	64.692	70.648	61.243	60.927	65.68	65.588
37862_at	34.824	39.685	37.088	35.076	43.141	31.867	41.809	37.792
37863_at	17.259	16.6	15.381	12.846	15.836	16.472	14.461	15.697
37864_s_at	115.546	111.309	100.958	111.296	101.455	98.625	115.225	114.585
37865_at	52.089	47.492	47.576	53.467	52.751	54.604	44.898	51.498
37866_at	101.314	101.729	107.095	92.597	104.711	108.663	94.565	100.845
37867_at	283.138	254.901	273.35	263.783	322.014	302.681	281.343	324.578
37868_s_at	147.286	144.947	131.788	128.376	155.863	139.182	150.098	137.705
37869_at	64.631	60.435	61.439	59.392	66.243	67.971	71.218	65.404
37870_at	212.769	212.633	186.424	200.234	205.134	212.486	152.123	202.1
37871_at	125.984	134.65	134.519	122.09	114.37	126.035	124.652	139.821
37872_at	308.832	291.242	284.246	295.07	317.667	316.595	292.337	333.149
37873_g_at	137.219	130.267	112.836	117.097	109.794	115.954	103.3	111.753
37874_at	127.434	110.826	120.022	109.428	127.497	128.785	111.499	136.319
37875_at	21.185	19.667	16.248	23.073	19.843	23.662	23.179	20.598
37876_at	17.415	15.874	19.217	12.882	18.349	19.694	19.344	16.88
37877_at	104.206	112.224	97.044	107.973	92.141	102.695	99.679	104.85
37878_at	61.794	67.264	67.314	69.087	65.751	68.43	76.997	70.563
37879_r_at	4.372	8.906	7.928	5.849	8.072	8.286	9.316	6.761
37880_at	235.06	210.752	227.133	219.117	229.909	224.525	219.78	240.303
37881_at	44.674	47.781	44.847	40.351	40.491	45.866	38.162	44.401
37882_at	29.219	25.924	24.156	27.304	26.135	28.668	23.962	26.162
37883_i_at	32.902	32.236	35.261	32.485	33.575	34.55	28.892	31.358
37884_f_at	18.453	18.941	19.162	12.392	17.092	13.997	13.73	17.697
37885_at	1148.86	993.028	1051.471	953.442	1060.895	1069.853	983.367	1127.151
37886_at	231.936	239.896	238.773	229.583	222.139	230.04	234.117	218.445
37887_at	181.365	176.023	186.208	170.866	175.061	176.767	163.507	196.215
38128_at	103.486	95.15	91.397	93.056	106.325	96.393	88.059	103.119
38129_at	80.83	80.191	72.971	65.571	79.928	88.561	73.994	81.683
38130_s_at	15.514	13.462	13.702	16.737	11.637	16.917	26.468	14.775
38131_at	199.121	209.319	200.162	197.653	253.203	220.542	226.748	224.188
38132_at	572.141	562.857	571.91	545.538	575.191	559.604	574.778	581.713
38133_at	13.83	12.652	11.944	12.723	11.579	13.539	13.236	15.032
38134_at	17.682	19.942	18.29	21.396	17.761	19.285	18.197	19.094
38135_at	26.518	21.583	22.203	29.252	23.554	24.15	17.797	18.28
38136_at	29.475	27.332	28.322	29.372	24.864	27.605	23.285	26.954
38137_at	127.339	129.48	122.621	124.17	130.96	134.089	123.619	113.843
38138_at	227.36	232.732	217.003	216.043	211.473	203.556	219.058	208.211
38139_at	56.057	52.199	52.34	56.41	51.709	54.24	45.215	47.667
38140_at	53.489	56.457	52.353	52.91	60.967	52.244	57.454	51.34
38141_at	41.905	47.616	43.584	42.206	43.316	42.782	37.638	35.335
38142_at	126.944	91.871	106.51	103.796	127.199	117.569	98.825	109.836
38143_at	30.136	35.609	32.638	33.809	39.132	35.686	30.365	30.274
38144_at	59.31	56.124	57.127	55.539	60.079	60.856	57.574	60.102
38145_at	18.328	22.658	16.897	18.084	16.591	21.849	18.373	12.358
38146_at	27.322	27.701	25.231	26.584	30.052	27.537	27.139	27.206
38147_at	22.507	22.33	22.547	23.029	26.362	24.741	21.681	22.559
38148_at	67.564	68.151	67.77	64.887	62.055	68.343	65.497	64.677
38149_at	125.595	120.871	115.632	116.386	125.287	125.294	123.754	127.511
38150_at	15.069	16.963	11.207	15.929	16.165	16.518	10.281	16.267
38151_at	136.442	140.39	133.785	139.139	127.802	144.318	157.929	137.518
38152_at	41.416	46.995	47.644	46.893	41.692	48.642	46.07	49.479
38153_at	41.493	40.696	36.975	39.936	36.684	42.03	40.318	42.827
38154_at	85.287	85.817	83.089	82.417	82.471	89.378	80.582	89.347
38155_at	73.121	81.413	67.024	72.891	76.838	73.902	65.467	77.617
38156_at	84.67	68.272	75.651	69.53	84.795	89.927	82.437	102.919
38157_at	276.546	268.802	260.902	278.951	258.563	264.075	262.264	282.203
38158_at	351.412	338.875	336.439	323.342	374.086	378.21	322.675	402.875
38159_at	35.438	37.488	26.24	35.599	33.551	33.623	37.22	29.795
38160_at	25.953	25.4	23.011	20.942	19.476	23.72	21.09	24.15
38161_at	363.105	376.645	368.225	332.765	328.786	333.034	301.684	322.65
38162_at	170.189	135.387	140.064	136.34	161.905	173.929	136.962	152.852
38163_at	83.08	80.408	86.421	77.178	89.329	91.522	76.446	86.636
38164_at	63.449	63.509	62.454	63.634	59.834	64.358	71.866	64.955
38165_s_at	74.886	73.187	75.18	73.085	74.09	78.169	67.438	81.281
38166_r_at	1493.212	1194.152	1075.186	1210.001	1398.95	1369.348	1271.804	1348.224
38167_at	83.687	74.984	84.749	73.923	77.669	81.112	81.607	79.968
38168_at	19.746	19.668	17.843	17.549	19.015	18.484	20.272	18.756
38169_s_at	90.208	95.961	87.894	89.852	99.665	84.301	88.976	83.17
38170_at	53.679	58.79	48.36	48.434	59.005	60.087	49.095	58.733
38171_at	552.253	460.414	452.301	479.668	545.183	528.098	492.807	584.208
38172_at	62.815	65.062	64.461	70.25	58.435	62.624	65.729	67.744
38173_at	160.372	171.301	175.374	167.915	160.152	156.75	176.666	148.657
38174_at	105.681	102.679	107.37	107.71	111.97	106.814	108.952	112.601
38175_at	46.174	39.949	41.076	45.012	53.439	44.409	43.603	47.05
38176_at	54.2	62.446	60.253	62.112	56.063	61.09	55.211	51.309
38177_at	198.202	182.776	160.434	174.291	267.132	182.223	179.419	201.885
38178_at	78.855	77.277	76.552	75.226	86.072	81.266	84.645	83.308
38179_at	78.072	79.713	67.12	71.67	75.441	75.208	73.565	70.553
38180_f_at	83.388	76.74	72.674	68.933	91.159	72.478	70.405	77.434
38181_at	118.645	127.809	113.099	132.222	112.53	108.742	113.133	117.4
38182_at	178.386	210.389	173.434	221.178	206.028	174.075	189.081	179.571
38183_at	20.835	23.091	17.014	24.615	23.857	22.164	22.753	20.633
38184_at	158.996	141.923	145.497	139.464	166.683	156.783	151.697	151.64
38185_at	56.485	47.931	47.388	53.585	45.456	55.083	44.982	47.328
38186_g_at	159.927	128.912	132.994	123.515	129.078	142.853	123.14	143.544
38187_at	54.745	49.055	42.494	52.596	62.469	56.553	49.569	56.785
38188_s_at	196.476	193.592	203.526	187.252	185.403	180.581	190.258	198.267
38189_s_at	168.214	150.888	155.953	159.133	165.433	155.933	160.957	156.676
38190_r_at	517.128	553.854	525.962	524.516	580.3	565.596	507.985	573.241
38191_at	262.357	235.384	216.973	221.08	224.978	212.32	229.531	221.048
38192_at	86.066	71.826	74.99	75.247	82.296	81.617	81.853	74.925
38193_at	155.858	136.202	135.878	135.748	165.91	159.562	131.826	174.295
38194_s_at	503.363	551.141	478.62	534.666	486.039	477.486	481.349	487.998
38195_at	11.637	13.703	10.219	10.818	11.981	10.729	11.507	14.839
38196_at	31.747	34.175	32.027	30.108	26.454	32.064	34.129	31.615
38197_at	151.067	140.581	118.832	126.741	147.653	144.206	127.351	132.995
38198_at	57.792	40.988	45.734	43.064	51.02	50.627	45.986	51.32
38199_at	168.81	145.165	149.987	143.933	174.427	181.871	144.645	162.147
38200_at	353.423	307.834	355.611	327.714	371.966	366.299	348.047	387.815
38201_at	66.465	66.624	61.046	63.823	63.213	62.569	61.623	64.676
38202_at	395.978	347.474	300.06	289.439	310.801	330.3	343.763	347.171
38203_at	330.449	307.992	294.427	294.266	332.553	307.798	296.262	331.724
38204_at	111.331	100.783	98.823	103.04	104.814	96.256	101.487	117.033
38205_at	111.109	105.184	94.16	103.751	106.071	109.592	111.403	101.411
38206_at	103.912	102.984	94.446	94.361	90.038	90.431	77.557	89.045
38207_at	255.36	240.426	227.895	243.372	252.789	244.225	267.21	263.062
38208_at	1092.047	941.565	886.164	899.54	1035.112	988.452	915.977	1010.934
38209_at	112.347	114.244	109.071	99.922	111.503	109.195	103.594	110.826
38210_at	115.524	114.11	106.727	111.63	105.857	113.887	97.001	112.521
38211_at	27.544	28.26	25.566	25.209	24.674	27.561	31.787	26.261
38212_at	69.272	62.311	63.069	64.78	67.297	64.198	71.676	68.586
38213_at	75.904	78.854	82.559	85.414	90.76	80.342	90.403	86.17
38214_at	149.358	147.29	147.442	132.385	160.37	154.584	138.477	153.82
38215_at	288.814	294.191	273.772	284.642	279.413	271.97	248.344	256.099
38216_at	83.456	87.334	88.502	79.162	82.736	85.058	76.128	83.91
38217_at	285.837	326.73	300.333	319.491	301.309	299.078	337.459	290.017
38218_at	49.109	45.634	45.136	45.734	51.25	45.983	42.406	43.612
38219_at	277.658	268.931	295.867	292.792	287.353	248.504	271.27	255.865
38220_at	43.544	55.203	41.225	52.58	46.058	55.158	43.579	47.506
38221_at	227.657	212.612	228.756	191.702	201.253	211.077	199.303	193.359
38222_at	123.322	134.537	132.71	131.727	135.8	140.554	151.566	139.209
38223_at	96.617	87.97	96.841	97.372	92.152	95.936	100.472	89.934
38224_at	56.051	55.12	52.598	48.681	51.743	54.212	51.659	62.2
38225_at	155.591	149.992	153.95	147.352	160.372	153.437	148.923	173.424
38226_at	185.231	174.15	182.664	185.672	187.334	177.258	203.534	178.461
38227_at	71.042	72.053	64.661	69.313	70.459	67.672	66.294	67.109
38228_g_at	30.831	32.634	30.661	30.317	28.394	35.909	28.255	33.858
38229_at	682.981	666.816	625.895	638.946	696.284	625.993	580.226	627.474
38230_at	273.047	300.659	269.516	298.908	291.944	288.819	296.128	287.253
38231_f_at	161.53	169.354	156.581	182.997	168.432	166.748	143.773	169.777
38232_f_at	179.395	160.175	153.679	178.099	159.145	153.951	162.55	161.01
38233_at	121.088	121.799	115.769	108.79	118.69	127.895	121.807	123.963
38234_at	87.173	81.538	87.836	77.445	96.194	86.744	84.356	102.244
38235_at	133.84	108.706	104.305	102.298	120.489	121.953	128.999	124.348
38236_at	146.541	139.476	140.313	139.278	150.426	153.459	130.104	152.334
38237_at	535.318	449.786	472.298	434.58	442.969	478.272	481.718	483.256
38238_at	86.67	64.884	58.314	60.887	69.957	60.78	54.687	82.751
38239_at	80.643	82.615	74.092	71.088	78.351	74.834	75.106	80.101
38240_at	84.424	76.324	74.543	75.499	83.025	76.523	76.365	74.325
38241_at	34.647	35.912	44.003	45.382	45.539	39.055	50.019	51.336
38242_at	83.388	77.985	79.568	74.959	83.024	86.473	74.77	80.48
38243_at	25.28	26.761	21.198	25.2	24.746	25.255	29.343	19.995
38244_at	18.421	19.336	16.792	20.152	17.258	16.211	17.917	19.29
38245_i_at	22.876	17.734	16.334	16.603	19.65	18.13	21.37	22.43
38246_r_at	19.75	16.353	16.796	19.453	18.908	18.935	21.169	20.221
38247_at	36.32	33.67	36.191	35.168	38.865	36.973	36.278	40.77
38488_s_at	24.02	18.059	21.319	21.175	22.667	21.372	23.447	19.096
38489_at	62.874	52.357	50.717	53.463	53.226	58.59	59.942	59.14
38490_r_at	48.08	48.777	41.352	49.591	52.52	53.041	46.939	48.942
38491_at	177.6	162.782	168.522	167.044	169.675	180.683	164.741	187.353
38492_at	51.161	49.128	47.094	48.235	45.402	43.082	53.983	48.311
38493_at	39.418	42.597	42.216	38.647	45.407	41.046	38.518	43.784
38494_at	159.748	130.089	137.588	134.339	152.544	151.81	116.296	151.467
38495_s_at	163.457	125.319	146.905	137.673	155.927	141.022	132.586	143.116
38496_at	37.184	32.795	33.167	27.162	34.261	27.933	32.723	27.539
38497_at	12.306	16.604	14.771	10.695	12.783	14.259	13.095	13.724
38498_at	83.336	88.002	85.003	82.636	86.007	83.663	78.467	82.326
38499_s_at	58.019	55.015	56.013	55.036	58.8	61.334	53.329	47.448
38500_at	107.869	115.629	124.091	136.563	118.961	112.748	135.221	120.564
38501_s_at	120.098	100.598	103.538	110.099	115.946	122.142	117.34	120.56
38502_at	33.117	35.23	29.2	35.123	39.861	45.014	44.106	42.031
38503_at	78.416	78.576	77.859	80.689	81.035	82.508	75.934	74.431
38504_at	174.377	144.964	143.318	139.228	149.063	143.373	145.058	159.214
38505_at	19.628	19.553	18.234	17.585	17.176	24.018	19.969	21.106
38506_at	477.186	405.012	374.48	380.139	388.959	391.863	433.451	387.296
38507_at	312.134	256.057	263.519	256.59	334.508	327.78	245.881	339.378
38508_s_at	463.688	426.678	393.68	403.746	432.457	413.644	407.006	428.407
38509_at	60.297	49.027	57.341	56.524	53.75	58.988	47.017	66.2
38510_at	35.306	38.409	30.379	27.142	24.121	31.049	27.163	34.802
38511_at	8.902	10.385	10.282	11.597	9.486	10.403	27.524	11.739
38512_r_at	220.481	201.116	211.901	198.99	219.439	237.358	210.639	218.067
38513_at	270.7	224.378	209.474	217.371	255.163	237.225	232.618	227.899
38514_at	20.05	24.508	20.794	20.619	17.052	19.832	22.356	19.157
38515_at	33.927	31.662	33.593	37.232	32.231	33.295	41.477	40.247
38516_at	175.654	168.367	177.042	189.166	176.216	180.193	178.747	166.476
38517_at	288.695	239.703	254.076	238.926	281.015	264.716	256.082	276.525
38518_at	126.18	130.695	119.425	120.763	109.826	113.561	125.458	120.714
38519_at	75.743	72.5	74.173	71.92	81.142	81.366	74.531	87.894
38520_r_at	21.437	15.357	18.002	18.02	20.089	17.372	23.257	16.892
38521_at	334.91	318.069	314.533	309.744	314.369	313.439	290.139	318.921
38522_s_at	51.73	64.197	65.191	68.611	57.86	62.871	69.022	64.23
38523_f_at	70.194	70.563	71.17	73.282	73.568	66.505	82.363	64.201
38524_at	37.516	42.785	34.067	32.649	57.867	32.426	33.483	40.683
38525_at	46.157	52.548	51.757	53.939	50.277	49.105	58.669	52.271
38526_at	80.511	74.023	63.948	70.402	86.094	79.724	77.112	79.127
38527_at	298.915	320.978	295.522	322.52	309.146	307.408	282.596	334.968
38528_at	47.327	41.166	44.809	43.98	49.716	45.284	47.378	48.259
38529_at	201.678	211.299	202.157	206.391	247.002	232.836	201.067	217.024
38530_at	251.201	251.72	239.791	264.143	292.6	276.062	277.271	271.906
38531_at	290.313	256.905	251.07	260.365	277.372	244.331	300.309	285.948
38532_at	60.896	61.809	58.723	58.813	70.883	66.519	58.586	57.525
38533_s_at	66.119	66.65	60.822	66.268	60.289	66.818	66.458	66.096
38534_at	58.918	45.897	50.209	48.115	55.216	59.179	46.291	59.679
38535_at	357.523	344.17	352.054	329.272	350.339	323.006	342.083	337.983
38536_at	18.054	17.168	17.537	16.277	18.122	18.502	17.051	17.259
38537_at	34.019	36.733	36.492	39.177	33.799	36.84	38.758	34.178
38538_at	153.706	128.16	138.634	136.886	147.566	146.126	139.88	156.452
38539_at	54.328	50.147	46.865	51.745	51.059	50.644	49.486	55.91
38540_at	72.32	81.639	74.012	71.555	80.617	75.411	72.735	74.297
38541_at	191.863	188.49	199.304	195.27	190.285	191.545	190.421	189.87
38542_at	974.763	1084.454	1026.736	1116.127	991.586	979.782	968.174	999.976
38543_at	139.181	145.08	140.941	137.937	127.811	131.745	119.536	118.829
38544_at	138.807	136.236	136.97	124.366	141.814	137.148	124.085	144.575
38545_at	372.625	307.793	270.991	264.471	353.329	327.625	316.019	351.396
38546_at	80.06	80.099	79.07	72.812	77.976	79.299	75.603	79.692
38547_at	46.869	45.002	41.625	39.65	37.297	42.404	39.723	42.913
38548_at	21.975	18.902	17.911	16.14	20.033	21.01	17.849	19.31
38549_at	126.884	104.614	105.887	120.936	128.612	122.732	123.221	110.971
38550_at	208.896	185.936	176.35	181.145	189.391	187.452	189.525	202.63
38551_at	234.878	207.34	194.346	195.158	232.418	229.368	204.892	251.641
38552_f_at	53.068	48.433	51.504	49.834	49.994	46.71	48.781	55.167
38553_r_at	69.76	52.993	52.673	49.75	56.134	65.007	57.225	65.902
38554_at	181.442	153.367	166.63	147.181	167.965	168.214	158.408	172.673
38555_at	27.963	20.996	30.597	24.683	24.529	24.201	26.068	23.356
38556_at	176.337	190.244	210.086	188.678	217.102	211.69	167.46	206.338
38557_at	5.741	11.001	7.409	6.563	7.206	10.695	11.291	5.58
38558_at	554.571	501.974	488.574	517.982	536.915	531.359	504.492	532.003
38559_at	46.275	44.582	42.771	44.393	49.064	52.97	42.926	45.44
38560_at	187.364	170.84	144.204	150.615	164.363	161.852	143.678	172.763
38561_at	82.565	87.899	92.627	98.636	89.843	83.605	100.977	94.97
38562_g_at	56.655	45.892	55.917	56.964	69.4	60.344	62.479	63.822
38563_at	59.085	54	55.727	51.87	51.646	52.084	54.221	58.032
38564_at	128.622	106.559	102.538	98.575	115.642	114.642	114.497	130.625
38565_at	129.444	125.05	117.128	132.682	144.368	121.492	136.439	117.808
38566_at	71.429	61.873	70.088	61.814	63.02	68.992	56.374	58.158
38567_at	61.871	52.603	51.978	50.276	52.514	47.725	53.242	60.137
38568_at	57.277	66.189	58.873	61.201	55.096	58.229	61.616	52.882
38569_at	258.441	244.755	255.185	242.24	241.744	255.682	250.732	263.76
38570_at	74.096	74.326	66.16	63.942	78.829	76.803	66.207	73.51
38571_at	76.058	80.378	72.581	74.103	78.153	82.516	74.539	80.708
38572_at	102.076	115.739	101.671	92.489	103.488	98.283	91.059	91.113
38573_at	61.71	59.058	54.085	58.716	59.759	66.012	57.49	60.018
38574_at	65.314	59.127	51.526	53.229	53.789	52.255	55.867	51.335
38575_at	18.255	21.461	22.246	23.448	16.683	22.585	17.565	24.806
38576_at	73.613	63.601	68.354	64.557	61.183	68.341	58.798	63.211
38577_at	105.881	116.584	96.228	102.654	117.281	118.432	102.953	119.514
38578_at	51.655	47.597	51.613	47.459	48.916	50.148	47.408	49.058
38579_at	132.541	114.293	122.618	115.812	146.393	135.16	135.128	124.833
38580_at	97.096	87.917	91.921	87.234	95.928	90.647	86.604	92.297
38581_at	54.451	53.375	48.714	46.083	70.85	56.538	50.681	60.071
38582_at	7400.643	8175.085	7790.158	7866.095	7381.199	7491.742	7329.797	7091.9
38583_at	27.079	29.427	22.718	29.088	35.613	25.752	29.846	24.349
38584_at	96.933	100.813	90.484	81.948	94.377	97.727	84.664	107.219
38585_at	82.785	84.639	88.678	84.149	90.822	82.408	91.927	81.901
38586_at	40.847	47.417	37.436	40.709	39.984	40.612	44.563	38.887
38587_at	9.96	12.189	12.995	10.408	15.134	11.897	14.845	11.643
38588_at	63.646	58.252	54.856	53.974	60.306	61.823	66.716	64.118
38589_i_at	234.421	260.025	239.971	247.36	223.951	221.996	246.031	229.163
38590_r_at	1267.058	1396.842	1333.025	1374.533	1320.617	1196.695	1373.176	1274.627
38591_at	135.665	124.55	112.626	126.306	125.026	140.209	100.333	128.427
38592_s_at	212.176	209.681	212.574	210.63	212.696	217.867	215.777	211.577
38593_r_at	34.235	30.734	32.246	31.524	32.873	38.841	29.626	31.25
38594_i_at	292.726	293.976	280.015	260.362	269.427	277.259	283.257	276.818
38595_r_at	291.596	274.777	299.995	288.632	286.632	266.659	313.645	258.634
38596_i_at	39.345	31.627	30.148	28.648	36.119	36.994	34.128	33.536
38597_f_at	136.531	133.418	133.017	126.968	127.165	129.17	117.767	137.251
38598_at	41.366	31.861	36.819	36.785	35.323	37.322	35.513	34.974
38599_s_at	479.474	436.807	454.84	439.774	434.213	431.65	469.7	483.449
38600_r_at	48.5	49.913	45.64	53.642	63.047	56.826	52.362	56.677
38601_at	179.481	165.475	158.137	157.681	172.582	166.082	177.47	174.267
38602_at	104.611	117.039	109.347	103.755	126.531	112.484	103.729	117.847
38603_at	28.036	33.637	24.034	31.78	29.759	34.991	29.094	35.866
38604_at	46.754	43.525	44.445	40.19	40.263	43.368	45.751	44.875
38605_at	485.423	521.791	473.361	485.731	449.834	447.942	461.443	473.335
38606_at	45.31	37.357	34.163	37.321	44.595	42.813	34.592	41.529
38607_at	162.295	152.964	154.084	162.387	157.404	163.292	144.458	156.169
38847_at	36.6	36.89	43.124	38.811	45.901	46.335	37.094	42.909
38848_at	184.356	189.318	183.32	184.276	170.569	190.787	180.64	182.35
38849_at	54.151	57.389	49.07	47.677	46.502	53.178	47.957	56.327
38850_at	174.606	171.311	160.19	181.035	162.814	172.379	171.102	169.973
38851_at	236.374	232.608	235.848	233.573	233.45	273.207	217.788	236.162
38852_at	95.53	87.72	88.711	94.686	104.933	94.243	91.133	97.466
38853_at	87.227	84.706	88.787	82.536	79.408	85.725	65.948	84.623
38854_at	90.687	81.082	85.35	84.018	95.014	95.355	89.92	93.188
38855_s_at	80.832	79.59	67.32	65.86	67.147	70.715	76.249	72.088
38856_at	50.349	50.22	44.31	47.451	47.245	49.706	46.134	49.858
38857_r_at	23.227	23.454	21.111	24.806	23.508	23.745	26.342	24.241
38858_at	256.589	298.568	263.082	288.685	271.186	253.55	246.407	238.943
38859_at	88.055	97.62	95.858	86.014	87.693	88.092	88.114	94.369
38860_at	118.573	123.492	130.87	126.01	137.655	125.713	137.65	129.094
38861_at	35.051	31.142	32.069	34.473	32.74	31.371	32.963	28.805
38862_at	205.814	190.52	183.034	184.487	196.25	178.91	184.076	188.495
38863_at	71.998	61.376	77.098	70.717	78.67	72.962	62.302	70.36
38864_at	141.019	140.723	143.708	145.352	144.027	151.409	152.502	158.078
38865_at	264.359	249.31	240.384	271.561	287.523	290.566	246.597	286.057
38866_at	45.255	53.814	55.21	44.318	49.682	52.733	48.893	55.816
38867_g_at	28.993	33.395	32.578	31.39	32.17	34.014	29.92	36.864
38868_at	218.277	180.073	209.728	173.137	192.359	196.885	193.214	208.019
38869_at	43.945	35.922	39.639	36.818	41.743	37.679	40.465	46.136
38870_at	100.367	96.637	97.93	106.807	102.67	99.997	100.651	108.274
38871_at	39.946	35.488	37.358	31.446	40.586	40.053	41.008	43.436
38872_at	27.454	26.938	23.609	26.738	22.879	28.364	21.721	23.974
38873_at	42.72	41.167	42.904	36.685	40.213	40.438	41.882	39.256
38874_s_at	150.176	90.601	152.852	148.794	165.006	171.305	152.308	166.015
38875_r_at	11.466	11.858	11.829	12.52	13.902	12.82	11.427	8.994
38876_at	59.591	57.541	56.967	52.846	54.569	57.436	52.613	57.542
38877_s_at	112.325	114.493	123.338	127.686	116.046	121.203	119.159	126.075
38878_at	172.929	168.173	165.593	164.924	184.268	179.671	184.422	188.126
38879_at	156.112	164.919	148.318	167.676	152.395	150.245	158.69	152.143
38880_at	108.752	105.03	87.905	88.677	89.817	92.251	84.248	89.71
38881_i_at	90.929	85.587	87.122	80.478	93.515	91.927	81.222	86.994
38882_r_at	451.687	384.337	415.264	412.838	495.899	431.006	409.044	465
38883_at	253.827	255.594	241.684	249.654	283.359	274.328	234.328	287.185
38884_at	136.962	121.346	125.025	112.161	135.225	132.33	112.016	118.406
38885_at	163.601	177.864	189.418	218.227	181.327	175.346	223.53	199.164
38886_i_at	18.604	20.314	16.205	16.848	15.813	15.026	15.628	15.141
38887_r_at	40.479	46.397	34.769	40.679	37.808	36.597	31.476	39.288
38888_at	11.255	8.014	12.495	12.356	14.388	13.378	12.889	9.525
38889_at	106.295	115.069	112.478	107.805	112.36	112.742	105.606	110.986
38890_at	128.203	109.391	130.932	110.361	116.241	113.081	111.798	121.091
38891_at	9.138	6.39	7.658	11.076	8.878	9.803	6.578	8.881
38892_at	43.455	49.398	45.358	44.519	43.884	47.306	46.825	47.685
38893_at	136.083	137.46	143.916	142.949	143.646	148.531	140.086	139.944
38894_g_at	169.114	154.824	149.779	156.67	166.224	149.097	145.658	156.926
38895_i_at	39.112	42.386	41.503	35.719	37.866	38.166	40.78	30.976
38896_at	97.619	101.569	95.79	99.496	93.043	92.68	91.496	98.947
38897_at	198.988	180.129	183.694	166.826	184.68	197.377	173.624	186.386
38898_at	81.712	78.658	82.602	74.801	80.645	72.077	67.008	73.316
38899_s_at	116.793	117.681	109.654	112.647	101.889	108.728	102.434	108.479
38900_at	49.477	45.689	42.387	44.793	46.551	46.755	46.786	43.555
38901_at	310.439	307.19	310.623	311.387	293.38	324.521	297.608	280.728
38902_r_at	12.037	13.55	14.404	16.124	17.881	17.674	12.759	17.65
38903_at	74.101	83.196	79.922	79.54	77.841	80.869	72.861	69.323
38904_at	65.93	57.644	62.653	55.902	69.533	62.384	62.353	62.137
38905_at	56.686	57.01	63.778	55.655	58.402	53.445	61.437	54.437
38906_at	42.889	39.08	49.144	54.756	50.204	42.989	55.518	47.428
38907_at	41.715	40.369	44.477	45.212	45.894	44.489	60.492	42.322
38908_s_at	81.829	88.878	88.326	86.54	81.08	94.435	85.871	91.388
38909_at	125.941	122.063	123.975	115.25	126.526	134.433	124.85	137.379
38910_at	32.649	26.06	26.923	25.26	28.023	28.786	28.653	30.575
38911_at	65.538	63.425	61.964	55.453	62.427	67.117	54.598	74.682
38912_at	31.686	29.198	31.759	28.971	28.905	30.002	37.023	33.429
38913_at	37.289	36.198	34.493	37.484	37.567	33.599	36.587	37.284
38914_at	82.989	70.124	82.279	76.545	76.994	90.007	75.905	85.685
38915_at	70.496	68.256	65.948	66.357	68.626	74.437	67.889	71.41
38916_at	82.833	72.537	69.24	61.033	74.759	80.892	64.708	90.385
38917_at	100.407	136.818	118.496	120.781	120.804	139.053	117.863	131.843
38918_at	184.178	162.927	161.821	165.438	162.941	167.719	171.925	176.895
38919_at	27.941	24.756	26.272	26.281	31.853	29.633	27.332	28.918
38920_at	67.003	58.718	54.061	53.925	66.388	68.138	50.861	64.952
38921_at	256.325	256.346	267.453	239.963	274.969	258.57	244.553	241.564
38922_at	164.768	155.778	135.116	126.73	158.897	159.07	145.475	163.076
38923_at	68.521	67.727	61.054	62.651	75.98	68.794	69.119	68.539
38924_s_at	67.691	84.969	70.214	84.622	63.052	62.066	75.733	65.629
38925_at	11.236	10.976	9.944	9.425	9.757	11.716	13.421	10.106
38926_at	47.055	38.154	40.771	35.083	42.695	44.342	35.918	51.938
38927_i_at	21.006	21.864	21.673	17.605	23.435	18.365	18.39	20.202
